market,order_city,order_country,order_region,order_state,geography_ID,warehouse_ID
"USCA","Irving","Estados Unidos","US Center","Texas",1952,"WH_AM"
"USCA","Dearborn","Estados Unidos","US Center","Michigan",2048,"WH_AM"
"USCA","Saginaw","Estados Unidos","US Center","Michigan",2053,"WH_AM"
"USCA","Lubbock","Estados Unidos","US Center","Texas",2057,"WH_AM"
"USCA","Roseville","Estados Unidos","US Center","Minnesota",2061,"WH_AM"
"USCA","Rockford","Estados Unidos","US Center","Illinois",2070,"WH_AM"
"USCA","Carrollton","Estados Unidos","US Center","Texas",2101,"WH_AM"
"USCA","Laredo","Estados Unidos","US Center","Texas",2103,"WH_AM"
"USCA","Mishawaka","Estados Unidos","US Center","Indiana",2104,"WH_AM"
"USCA","Sterling Heights","Estados Unidos","US Center","Michigan",2174,"WH_AM"
"USCA","Bedford","Estados Unidos","US Center","Texas",2198,"WH_AM"
"USCA","Mcallen","Estados Unidos","US Center","Texas",2274,"WH_AM"
"USCA","Corpus Christi","Estados Unidos","US Center","Texas",2450,"WH_AM"
"USCA","Normal","Estados Unidos","US Center","Illinois",2452,"WH_AM"
"USCA","Port Arthur","Estados Unidos","US Center","Texas",2488,"WH_AM"
"USCA","Lansing","Estados Unidos","US Center","Michigan",2536,"WH_AM"
"USCA","Beaumont","Estados Unidos","US Center","Texas",2568,"WH_AM"
"USCA","Des Moines","Estados Unidos","US Center","Iowa",2573,"WH_AM"
"USCA","Allen","Estados Unidos","US Center","Texas",2617,"WH_AM"
"USCA","Orland Park","Estados Unidos","US Center","Illinois",2644,"WH_AM"
"USCA","Harlingen","Estados Unidos","US Center","Texas",2645,"WH_AM"
"USCA","Dearborn Heights","Estados Unidos","US Center","Michigan",2648,"WH_AM"
"USCA","Champaign","Estados Unidos","US Center","Illinois",2650,"WH_AM"
"USCA","Lawrence","Estados Unidos","US Center","Indiana",2669,"WH_AM"
"USCA","Bloomington","Estados Unidos","US Center","Indiana",2682,"WH_AM"
"USCA","The Colony","Estados Unidos","US Center","Texas",2728,"WH_AM"
"USCA","Franklin","Estados Unidos","US Center","Wisconsin",2729,"WH_AM"
"USCA","Skokie","Estados Unidos","US Center","Illinois",2730,"WH_AM"
"USCA","Columbia","Estados Unidos","US Center","Misuri",2731,"WH_AM"
"USCA","Norfolk","Estados Unidos","US Center","Nebraska",2734,"WH_AM"
"USCA","Apple Valley","Estados Unidos","US Center","Minnesota",2735,"WH_AM"
"USCA","League City","Estados Unidos","US Center","Texas",2736,"WH_AM"
"USCA","San Marcos","Estados Unidos","US Center","Texas",2738,"WH_AM"
"USCA","College Station","Estados Unidos","US Center","Texas",2739,"WH_AM"
"USCA","Saint Cloud","Estados Unidos","US Center","Minnesota",2743,"WH_AM"
"USCA","Saint Charles","Estados Unidos","US Center","Misuri",2761,"WH_AM"
"USCA","Eagan","Estados Unidos","US Center","Minnesota",2762,"WH_AM"
"USCA","Brownsville","Estados Unidos","US Center","Texas",2833,"WH_AM"
"USCA","Mansfield","Estados Unidos","US Center","Texas",2837,"WH_AM"
"USCA","Midland","Estados Unidos","US Center","Michigan",2838,"WH_AM"
"USCA","Burlington","Estados Unidos","US Center","Iowa",2873,"WH_AM"
"USCA","Rapid City","Estados Unidos","US Center","Dakota del Sur",2880,"WH_AM"
"USCA","Maple Grove","Estados Unidos","US Center","Minnesota",2918,"WH_AM"
"USCA","Madison","Estados Unidos","US Center","Wisconsin",2920,"WH_AM"
"USCA","Richardson","Estados Unidos","US Center","Texas",2973,"WH_AM"
"USCA","Urbandale","Estados Unidos","US Center","Iowa",3062,"WH_AM"
"USCA","Highland Park","Estados Unidos","US Center","Illinois",3064,"WH_AM"
"USCA","San Angelo","Estados Unidos","US Center","Texas",3068,"WH_AM"
"USCA","Sheboygan","Estados Unidos","US Center","Wisconsin",3095,"WH_AM"
"USCA","Westland","Estados Unidos","US Center","Michigan",3113,"WH_AM"
"USCA","West Allis","Estados Unidos","US Center","Wisconsin",3114,"WH_AM"
"USCA","Sioux Falls","Estados Unidos","US Center","Dakota del Sur",3122,"WH_AM"
"USCA","Wheeling","Estados Unidos","US Center","Illinois",3123,"WH_AM"
"USCA","Abilene","Estados Unidos","US Center","Texas",3172,"WH_AM"
"USCA","Marion","Estados Unidos","US Center","Iowa",3209,"WH_AM"
"USCA","Cottage Grove","Estados Unidos","US Center","Minnesota",3219,"WH_AM"
"USCA","Gladstone","Estados Unidos","US Center","Misuri",3220,"WH_AM"
"USCA","Eau Claire","Estados Unidos","US Center","Wisconsin",3221,"WH_AM"
"USCA","Woodstock","Estados Unidos","US Center","Illinois",3248,"WH_AM"
"USCA","Rochester Hills","Estados Unidos","US Center","Michigan",3249,"WH_AM"
"USCA","La Porte","Estados Unidos","US Center","Texas",3274,"WH_AM"
"USCA","Buffalo Grove","Estados Unidos","US Center","Illinois",3278,"WH_AM"
"USCA","Garland","Estados Unidos","US Center","Texas",3279,"WH_AM"
"USCA","Edmond","Estados Unidos","US Center","Oklahoma",3280,"WH_AM"
"USCA","Taylor","Estados Unidos","US Center","Michigan",3282,"WH_AM"
"USCA","Holland","Estados Unidos","US Center","Michigan",3283,"WH_AM"
"USCA","Waukesha","Estados Unidos","US Center","Wisconsin",3290,"WH_AM"
"USCA","Lawton","Estados Unidos","US Center","Oklahoma",3291,"WH_AM"
"USCA","Woodbury","Estados Unidos","US Center","Minnesota",3340,"WH_AM"
"USCA","Peoria","Estados Unidos","US Center","Illinois",3421,"WH_AM"
"USCA","Fargo","Estados Unidos","US Center","Dakota del Norte",3426,"WH_AM"
"USCA","Dubuque","Estados Unidos","US Center","Iowa",3446,"WH_AM"
"USCA","Bryan","Estados Unidos","US Center","Texas",3449,"WH_AM"
"USCA","Cedar Rapids","Estados Unidos","US Center","Iowa",3450,"WH_AM"
"USCA","Royal Oak","Estados Unidos","US Center","Michigan",3462,"WH_AM"
"USCA","Norman","Estados Unidos","US Center","Oklahoma",3463,"WH_AM"
"USCA","Coppell","Estados Unidos","US Center","Texas",3466,"WH_AM"
"USCA","Greenwood","Estados Unidos","US Center","Indiana",3493,"WH_AM"
"USCA","Grand Island","Estados Unidos","US Center","Nebraska",3494,"WH_AM"
"USCA","Ann Arbor","Estados Unidos","US Center","Michigan",3499,"WH_AM"
"USCA","Arlington Heights","Estados Unidos","US Center","Illinois",3538,"WH_AM"
"USCA","Oak Park","Estados Unidos","US Center","Michigan",3559,"WH_AM"
"USCA","Kirkwood","Estados Unidos","US Center","Misuri",3560,"WH_AM"
"USCA","Danville","Estados Unidos","US Center","Illinois",3562,"WH_AM"
"USCA","Carol Stream","Estados Unidos","US Center","Illinois",3563,"WH_AM"
"USCA","Tinley Park","Estados Unidos","US Center","Illinois",3564,"WH_AM"
"USCA","Conroe","Estados Unidos","US Center","Texas",3565,"WH_AM"
"USCA","Missouri City","Estados Unidos","US Center","Texas",3567,"WH_AM"
"USCA","South Bend","Estados Unidos","US Center","Indiana",3572,"WH_AM"
"USCA","Appleton","Estados Unidos","US Center","Wisconsin",3574,"WH_AM"
"USCA","Park Ridge","Estados Unidos","US Center","Illinois",3615,"WH_AM"
"USCA","Canton","Estados Unidos","US Center","Michigan",3616,"WH_AM"
"USCA","Romeoville","Estados Unidos","US Center","Illinois",3618,"WH_AM"
"USCA","Independence","Estados Unidos","US Center","Misuri",3619,"WH_AM"
"USCA","Roseville","Estados Unidos","US Center","Michigan",3646,"WH_AM"
"USCA","Cedar Hill","Estados Unidos","US Center","Texas",3657,"WH_AM"
"USCA","Moorhead","Estados Unidos","US Center","Minnesota",3658,"WH_AM"
"USCA","New Castle","Estados Unidos","US Center","Indiana",3660,"WH_AM"
"USCA","Grapevine","Estados Unidos","US Center","Texas",3661,"WH_AM"
"USCA","Waterloo","Estados Unidos","US Center","Iowa",3689,"WH_AM"
"USCA","Aberdeen","Estados Unidos","US Center","Dakota del Sur",3699,"WH_AM"
"USCA","Deer Park","Estados Unidos","US Center","Texas",3703,"WH_AM"
"USCA","Coon Rapids","Estados Unidos","US Center","Minnesota",3712,"WH_AM"
"USCA","Pearland","Estados Unidos","US Center","Texas",3721,"WH_AM"
"USCA","Saint Peters","Estados Unidos","US Center","Misuri",3722,"WH_AM"
"USCA","Mount Pleasant","Estados Unidos","US Center","Michigan",3725,"WH_AM"
"USCA","Elkhart","Estados Unidos","US Center","Indiana",3742,"WH_AM"
"USCA","Monroe","Estados Unidos","South of  USA","Carolina del Norte",309,"WH_AM"
"USCA","Jacksonville","Estados Unidos","South of  USA","Florida",324,"WH_AM"
"USCA","Columbus","Estados Unidos","South of  USA","Georgia",879,"WH_AM"
"USCA","Asheville","Estados Unidos","South of  USA","Carolina del Norte",882,"WH_AM"
"USCA","Florence","Estados Unidos","South of  USA","Alabama",883,"WH_AM"
"USCA","Springfield","Estados Unidos","South of  USA","Virginia",887,"WH_AM"
"USCA","Charlotte","Estados Unidos","South of  USA","Carolina del Norte",898,"WH_AM"
"USCA","Newport News","Estados Unidos","South of  USA","Virginia",900,"WH_AM"
"USCA","Henderson","Estados Unidos","South of  USA","Kentucky",912,"WH_AM"
"USCA","Alexandria","Estados Unidos","South of  USA","Virginia",1031,"WH_AM"
"USCA","Huntsville","Estados Unidos","South of  USA","Alabama",1032,"WH_AM"
"USCA","Memphis","Estados Unidos","South of  USA","Tennessee",1034,"WH_AM"
"USCA","Fayetteville","Estados Unidos","South of  USA","Arkansas",1035,"WH_AM"
"USCA","Richmond","Estados Unidos","South of  USA","Virginia",1036,"WH_AM"
"USCA","Richmond","Estados Unidos","South of  USA","Kentucky",1037,"WH_AM"
"USCA","Lakeland","Estados Unidos","South of  USA","Florida",1039,"WH_AM"
"USCA","Louisville","Estados Unidos","South of  USA","Kentucky",1044,"WH_AM"
"USCA","Atlanta","Estados Unidos","South of  USA","Georgia",1048,"WH_AM"
"USCA","Tampa","Estados Unidos","South of  USA","Florida",1056,"WH_AM"
"USCA","Jacksonville","Estados Unidos","South of  USA","Carolina del Norte",1058,"WH_AM"
"USCA","Tallahassee","Estados Unidos","South of  USA","Florida",1059,"WH_AM"
"USCA","Port Saint Lucie","Estados Unidos","South of  USA","Florida",1061,"WH_AM"
"USCA","Fayetteville","Estados Unidos","South of  USA","Carolina del Norte",1066,"WH_AM"
"USCA","Clarksville","Estados Unidos","South of  USA","Tennessee",1129,"WH_AM"
"USCA","Little Rock","Estados Unidos","South of  USA","Arkansas",1136,"WH_AM"
"USCA","Jackson","Estados Unidos","South of  USA","Misisipi",1137,"WH_AM"
"USCA","Chesapeake","Estados Unidos","South of  USA","Virginia",1141,"WH_AM"
"USCA","Southaven","Estados Unidos","South of  USA","Misisipi",1144,"WH_AM"
"USCA","Harrisonburg","Estados Unidos","South of  USA","Virginia",1148,"WH_AM"
"USCA","Smyrna","Estados Unidos","South of  USA","Tennessee",1363,"WH_AM"
"USCA","Wilmington","Estados Unidos","South of  USA","Carolina del Norte",1364,"WH_AM"
"USCA","Columbia","Estados Unidos","South of  USA","Carolina del Sur",1371,"WH_AM"
"USCA","Franklin","Estados Unidos","South of  USA","Tennessee",1372,"WH_AM"
"USCA","Raleigh","Estados Unidos","South of  USA","Carolina del Norte",1380,"WH_AM"
"USCA","Salem","Estados Unidos","South of  USA","Virginia",1425,"WH_AM"
"USCA","Wilson","Estados Unidos","South of  USA","Carolina del Norte",1592,"WH_AM"
"USCA","Fort Lauderdale","Estados Unidos","South of  USA","Florida",1600,"WH_AM"
"USCA","Decatur","Estados Unidos","South of  USA","Alabama",1606,"WH_AM"
"USCA","Miramar","Estados Unidos","South of  USA","Florida",1607,"WH_AM"
"USCA","Arlington","Estados Unidos","South of  USA","Virginia",1608,"WH_AM"
"USCA","Nashville","Estados Unidos","South of  USA","Tennessee",1609,"WH_AM"
"USCA","Marietta","Estados Unidos","South of  USA","Georgia",1611,"WH_AM"
"USCA","Miami","Estados Unidos","South of  USA","Florida",1612,"WH_AM"
"USCA","Durham","Estados Unidos","South of  USA","Carolina del Norte",1620,"WH_AM"
"USCA","Jonesboro","Estados Unidos","South of  USA","Arkansas",1688,"WH_AM"
"USCA","Florence","Estados Unidos","South of  USA","Kentucky",1691,"WH_AM"
"USCA","Murfreesboro","Estados Unidos","South of  USA","Tennessee",1710,"WH_AM"
"USCA","Mobile","Estados Unidos","South of  USA","Alabama",1711,"WH_AM"
"USCA","Lafayette","Estados Unidos","South of  USA","Luisiana",1714,"WH_AM"
"USCA","Hollywood","Estados Unidos","South of  USA","Florida",1719,"WH_AM"
"USCA","East Point","Estados Unidos","South of  USA","Georgia",1723,"WH_AM"
"USCA","Orlando","Estados Unidos","South of  USA","Florida",1751,"WH_AM"
"USCA","Conway","Estados Unidos","South of  USA","Arkansas",1777,"WH_AM"
"USCA","Apopka","Estados Unidos","South of  USA","Florida",1791,"WH_AM"
"USCA","Pembroke Pines","Estados Unidos","South of  USA","Florida",1793,"WH_AM"
"USCA","Bowling Green","Estados Unidos","South of  USA","Kentucky",1812,"WH_AM"
"USCA","Sandy Springs","Estados Unidos","South of  USA","Georgia",1822,"WH_AM"
"USCA","Monroe","Estados Unidos","South of  USA","Luisiana",1823,"WH_AM"
"USCA","Palm Coast","Estados Unidos","South of  USA","Florida",1843,"WH_AM"
"USCA","Waynesboro","Estados Unidos","South of  USA","Virginia",1845,"WH_AM"
"USCA","Bristol","Estados Unidos","South of  USA","Tennessee",1848,"WH_AM"
"USCA","Chattanooga","Estados Unidos","South of  USA","Tennessee",1915,"WH_AM"
"USCA","Jackson","Estados Unidos","South of  USA","Tennessee",1916,"WH_AM"
"USCA","Bossier City","Estados Unidos","South of  USA","Luisiana",1935,"WH_AM"
"USCA","Smyrna","Estados Unidos","South of  USA","Georgia",1936,"WH_AM"
"USCA","Burlington","Estados Unidos","South of  USA","Carolina del Norte",1940,"WH_AM"
"USCA","Pensacola","Estados Unidos","South of  USA","Florida",1947,"WH_AM"
"USCA","Boynton Beach","Estados Unidos","South of  USA","Florida",1950,"WH_AM"
"USCA","Athens","Estados Unidos","South of  USA","Georgia",1953,"WH_AM"
"USCA","Gastonia","Estados Unidos","South of  USA","Carolina del Norte",2052,"WH_AM"
"USCA","Montgomery","Estados Unidos","South of  USA","Alabama",2060,"WH_AM"
"USCA","Suffolk","Estados Unidos","South of  USA","Virginia",2062,"WH_AM"
"USCA","Pine Bluff","Estados Unidos","South of  USA","Arkansas",2102,"WH_AM"
"USCA","Hendersonville","Estados Unidos","South of  USA","Tennessee",2149,"WH_AM"
"USCA","Hickory","Estados Unidos","South of  USA","Carolina del Norte",2151,"WH_AM"
"USCA","Knoxville","Estados Unidos","South of  USA","Tennessee",2154,"WH_AM"
"USCA","Hialeah","Estados Unidos","South of  USA","Florida",2175,"WH_AM"
"USCA","Johnson City","Estados Unidos","South of  USA","Tennessee",2205,"WH_AM"
"USCA","Lake Charles","Estados Unidos","South of  USA","Luisiana",2207,"WH_AM"
"USCA","Greensboro","Estados Unidos","South of  USA","Carolina del Norte",2278,"WH_AM"
"USCA","Florence","Estados Unidos","South of  USA","Carolina del Sur",2384,"WH_AM"
"USCA","Jupiter","Estados Unidos","South of  USA","Florida",2387,"WH_AM"
"USCA","Coral Springs","Estados Unidos","South of  USA","Florida",2388,"WH_AM"
"USCA","Georgetown","Estados Unidos","South of  USA","Kentucky",2389,"WH_AM"
"USCA","Concord","Estados Unidos","South of  USA","Carolina del Norte",2414,"WH_AM"
"USCA","Plantation","Estados Unidos","South of  USA","Florida",2444,"WH_AM"
"USCA","Hattiesburg","Estados Unidos","South of  USA","Misisipi",2446,"WH_AM"
"USCA","Margate","Estados Unidos","South of  USA","Florida",2458,"WH_AM"
"USCA","Daytona Beach","Estados Unidos","South of  USA","Florida",2528,"WH_AM"
"USCA","Virginia Beach","Estados Unidos","South of  USA","Virginia",2530,"WH_AM"
"USCA","Greenville","Estados Unidos","South of  USA","Carolina del Norte",2542,"WH_AM"
"USCA","Columbia","Estados Unidos","South of  USA","Tennessee",2570,"WH_AM"
"USCA","Charlottesville","Estados Unidos","South of  USA","Virginia",2571,"WH_AM"
"USCA","Auburn","Estados Unidos","South of  USA","Alabama",2641,"WH_AM"
"USCA","Roswell","Estados Unidos","South of  USA","Georgia",2643,"WH_AM"
"USCA","Hoover","Estados Unidos","South of  USA","Alabama",2681,"WH_AM"
"USCA","Tamarac","Estados Unidos","South of  USA","Florida",2727,"WH_AM"
"USCA","Hampton","Estados Unidos","South of  USA","Virginia",2798,"WH_AM"
"USCA","Thomasville","Estados Unidos","South of  USA","Carolina del Norte",2889,"WH_AM"
"USCA","Warner Robins","Estados Unidos","South of  USA","Georgia",2976,"WH_AM"
"USCA","Springdale","Estados Unidos","South of  USA","Arkansas",2988,"WH_AM"
"USCA","Sanford","Estados Unidos","South of  USA","Florida",2989,"WH_AM"
"USCA","Pompano Beach","Estados Unidos","South of  USA","Florida",3060,"WH_AM"
"USCA","Owensboro","Estados Unidos","South of  USA","Kentucky",3061,"WH_AM"
"USCA","Kenner","Estados Unidos","South of  USA","Luisiana",3072,"WH_AM"
"USCA","Mount Pleasant","Estados Unidos","South of  USA","Carolina del Sur",3111,"WH_AM"
"USCA","Cary","Estados Unidos","South of  USA","Carolina del Norte",3115,"WH_AM"
"USCA","Líbano","Estados Unidos","South of  USA","Tennessee",3125,"WH_AM"
"USCA","Summerville","Estados Unidos","South of  USA","Carolina del Sur",3126,"WH_AM"
"USCA","Macon","Estados Unidos","South of  USA","Georgia",3232,"WH_AM"
"USCA","West Palm Beach","Estados Unidos","South of  USA","Florida",3233,"WH_AM"
"USCA","Hot Springs","Estados Unidos","South of  USA","Arkansas",3247,"WH_AM"
"USCA","Tuscaloosa","Estados Unidos","South of  USA","Alabama",3271,"WH_AM"
"USCA","Gulfport","Estados Unidos","South of  USA","Misisipi",3273,"WH_AM"
"USCA","Boca Raton","Estados Unidos","South of  USA","Florida",3309,"WH_AM"
"USCA","Delray Beach","Estados Unidos","South of  USA","Florida",3404,"WH_AM"
"USCA","Saint Petersburg","Estados Unidos","South of  USA","Florida",3453,"WH_AM"
"USCA","Homestead","Estados Unidos","South of  USA","Florida",3454,"WH_AM"
"USCA","Rock Hill","Estados Unidos","South of  USA","Carolina del Sur",3467,"WH_AM"
"USCA","North Miami","Estados Unidos","South of  USA","Florida",3540,"WH_AM"
"USCA","North Charleston","Estados Unidos","South of  USA","Carolina del Sur",3556,"WH_AM"
"USCA","Deltona","Estados Unidos","South of  USA","Florida",3561,"WH_AM"
"USCA","Murray","Estados Unidos","South of  USA","Kentucky",3569,"WH_AM"
"USCA","Ormond Beach","Estados Unidos","South of  USA","Florida",3622,"WH_AM"
"USCA","Texarkana","Estados Unidos","South of  USA","Arkansas",3711,"WH_AM"
"USCA","Kissimmee","Estados Unidos","South of  USA","Florida",3727,"WH_AM"
"USCA","Woodstock","Estados Unidos","South of  USA","Georgia",3747,"WH_AM"
"USCA","Cincinnati","Estados Unidos","East of USA","Ohio",142,"WH_AM"
"USCA","Philadelphia","Estados Unidos","East of USA","Pensilvania",146,"WH_AM"
"USCA","New York City","Estados Unidos","East of USA","Nueva York",308,"WH_AM"
"USCA","Clinton","Estados Unidos","East of USA","Maryland",876,"WH_AM"
"USCA","Lowell","Estados Unidos","East of USA","Massachusetts",884,"WH_AM"
"USCA","Akron","Estados Unidos","East of USA","Ohio",885,"WH_AM"
"USCA","Oceanside","Estados Unidos","East of USA","Nueva York",901,"WH_AM"
"USCA","Baltimore","Estados Unidos","East of USA","Maryland",905,"WH_AM"
"USCA","Columbus","Estados Unidos","East of USA","Ohio",909,"WH_AM"
"USCA","Waterbury","Estados Unidos","East of USA","Connecticut",911,"WH_AM"
"USCA","Newark","Estados Unidos","East of USA","Delaware",1033,"WH_AM"
"USCA","Auburn","Estados Unidos","East of USA","Nueva York",1040,"WH_AM"
"USCA","Springfield","Estados Unidos","East of USA","Ohio",1041,"WH_AM"
"USCA","Hempstead","Estados Unidos","East of USA","Nueva York",1043,"WH_AM"
"USCA","Columbia","Estados Unidos","East of USA","Maryland",1047,"WH_AM"
"USCA","Buffalo","Estados Unidos","East of USA","Nueva York",1054,"WH_AM"
"USCA","Lewiston","Estados Unidos","East of USA","Maine",1060,"WH_AM"
"USCA","Lawrence","Estados Unidos","East of USA","Massachusetts",1063,"WH_AM"
"USCA","Rome","Estados Unidos","East of USA","Nueva York",1067,"WH_AM"
"USCA","Lakewood","Estados Unidos","East of USA","Nueva Jersey",1131,"WH_AM"
"USCA","Wheeling","Estados Unidos","East of USA","Virginia Occidental",1132,"WH_AM"
"USCA","Chester","Estados Unidos","East of USA","Pensilvania",1133,"WH_AM"
"USCA","Cambridge","Estados Unidos","East of USA","Massachusetts",1135,"WH_AM"
"USCA","Medina","Estados Unidos","East of USA","Ohio",1138,"WH_AM"
"USCA","Wilmington","Estados Unidos","East of USA","Delaware",1139,"WH_AM"
"USCA","Newark","Estados Unidos","East of USA","Ohio",1586,"WH_AM"
"USCA","Kent","Estados Unidos","East of USA","Ohio",1602,"WH_AM"
"USCA","Bangor","Estados Unidos","East of USA","Maine",1603,"WH_AM"
"USCA","Morristown","Estados Unidos","East of USA","Nueva Jersey",1605,"WH_AM"
"USCA","Westfield","Estados Unidos","East of USA","Nueva Jersey",1712,"WH_AM"
"USCA","Paterson","Estados Unidos","East of USA","Nueva Jersey",1716,"WH_AM"
"USCA","Long Beach","Estados Unidos","East of USA","Nueva York",1718,"WH_AM"
"USCA","Lancaster","Estados Unidos","East of USA","Ohio",1725,"WH_AM"
"USCA","Troy","Estados Unidos","East of USA","Ohio",1760,"WH_AM"
"USCA","Providence","Estados Unidos","East of USA","Rhode Island",1780,"WH_AM"
"USCA","Leominster","Estados Unidos","East of USA","Massachusetts",1783,"WH_AM"
"USCA","Fairfield","Estados Unidos","East of USA","Connecticut",1787,"WH_AM"
"USCA","Quincy","Estados Unidos","East of USA","Massachusetts",1792,"WH_AM"
"USCA","Allentown","Estados Unidos","East of USA","Pensilvania",1906,"WH_AM"
"USCA","New Bedford","Estados Unidos","East of USA","Massachusetts",1908,"WH_AM"
"USCA","Troy","Estados Unidos","East of USA","Nueva York",1909,"WH_AM"
"USCA","Dublín","Estados Unidos","East of USA","Ohio",1912,"WH_AM"
